發生時間,發生地點,死亡受傷人數,車種,經度,緯度
107年04月19日 09時20分00秒,臺東縣達仁鄉台9線 446公里300.0公尺處南側向內側,死亡1;受傷3,自用-小貨車(含客、貨兩用);普通重型-機車;租賃車-小客車;乘客-人;乘客-人;乘客-人,120.868567,22.279777
107年04月19日 11時23分00秒,臺北市北投區復興三路 / 臺北市北投區復興四路,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車,121.502936,25.144234
107年04月20日 00時36分00秒,彰化縣田尾鄉海豐村中正路3段 / 彰化縣田尾鄉海豐村新生路,死亡2;受傷0,自用-小貨車(含客、貨兩用);乘客-人,120.505966,23.864861
107年04月20日 06時19分00秒,臺南市安平區永華路2段口 / 臺南市安平區光州路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.159718,22.991553
107年04月20日 07時08分00秒,嘉義市西區福安里高鐵大道 / 嘉義市西區福安里中興路,死亡1;受傷0,遊覽車-大客車;普通重型-機車,120.428571,23.478228
107年04月20日 07時45分00秒,新北市中和區中正路 / 新北市中和區和城路,死亡1;受傷1,計程車-小客車;大型重型1(550C.C.以上)-機車,121.485902,24.994313
107年04月20日 08時38分09秒,屏東縣崁頂鄉中正路1-1號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.507400,22.509646
107年04月20日 16時51分00秒,新北市新莊區光明路前0.0公尺,死亡1;受傷0,普通重型-機車,121.491111,25.059126
107年04月21日 10時40分00秒,新北市林口區文化二路 / 新北市林口區中華一路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.370023,25.072598
107年04月21日 11時00分00秒,屏東縣枋山鄉台一線448.3公里處南向(品味軒休息站前),死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車,120.644112,22.296460
107年04月21日 20時24分00秒,臺中市大肚區社腳里沙田路二段2巷前0.0公尺,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車,120.552825,24.135894
107年04月22日 04時50分00秒,桃園市新屋區下田里中山西路二段915號對面,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.055838,24.984046
107年04月22日 07時37分00秒,高雄市杉林區山仙路124燈號前0.0公尺南側,死亡1;受傷0,自用-小客車;普通重型-機車,120.542400,22.970980
107年04月22日 19時03分00秒,雲林縣麥寮鄉後安村後安路201之146號前0.0公尺,死亡1;受傷1,電動自行車-慢車;自用-小客車,120.233453,23.784021
107年04月22日 19時20分00秒,臺東縣卑南鄉太平村太平路377號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.084014,22.784344
107年04月23日 00時30分04秒,新竹縣北埔鄉台3線 78.5公里向外側,死亡1;受傷0,普通重型-機車,121.057722,24.702050
107年04月23日 04時37分23秒,臺南市麻豆區國道1號 308公里100.0公尺處南側向路肩,死亡3;受傷1,營業用-大貨車;自用-大貨車;警備車-特種車;其他人-人;其他人-人;其他人-人,120.236161,23.181745
107年04月23日 05時50分00秒,高雄市鼓山區翠華路 / 高雄市鼓山區逢甲路,死亡1;受傷0,自用-小客車;普通重型-機車,120.283607,22.663789
107年04月23日 07時20分00秒,屏東縣林邊鄉成功路4巷與林邊大排一號橋路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.514727,22.434704
107年04月23日 08時50分00秒,臺北市萬華區環河南路2段 / 臺北市萬華區環河南路2段,死亡1;受傷0,自用-小客車;行人-人,121.493253,25.033810
107年04月23日 14時03分32秒,桃園市八德區大發里和平路北側 / 桃園市八德區大發里和成路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,121.321431,24.962825
107年04月23日 14時50分01秒,臺南市新化區國道3號 349公里500.0公尺處南側向中線,死亡1;受傷0,自用-大貨車;其他人-人,120.327439,23.028209
107年04月23日 16時08分00秒,屏東縣滿州鄉食水路段,死亡1;受傷0,遊覽車-大客車;電動自行車-慢車,120.790589,22.008069
107年04月23日 16時10分00秒,桃園市蘆竹區六福路西側 / 桃園市蘆竹區五福一路,死亡1;受傷0,營業用-曳引車;普通輕型-機車,121.295232,25.059011
107年04月23日 17時04分00秒,臺南市六甲區王爺里市道174線前0.0公尺,死亡1;受傷0,自用-半聯結車,120.397926,23.230628
107年04月24日 00時34分00秒,嘉義縣民雄鄉興南村工業一路東側 / 嘉義縣民雄鄉興南村工業五路南側,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.433130,23.519195
107年04月24日 10時34分00秒,彰化縣竹塘鄉竹元村竹鹿路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.413120,23.862836
107年04月24日 14時07分00秒,宜蘭縣五結鄉大興路北側 / 宜蘭縣五結鄉大興路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.780467,24.690382
107年04月24日 19時57分00秒,桃園市蘆竹區南崁路2段南側 / 桃園市蘆竹區南工路,死亡1;受傷0,民營公車-大客車;行人-人,121.277808,25.057507
107年04月25日 07時22分00秒,高雄市鳥松區美山路口 / 高雄市鳥松區美山路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.379170,22.644428
107年04月25日 18時36分09秒,宜蘭縣五結鄉五結路3段610號前0.0公尺北側,死亡1;受傷0,自用-小客車;行人-人,121.779231,24.682470
107年04月26日 02時20分51秒,臺北市內湖區國道1號 18公里300.0公尺處南側向外側,死亡1;受傷0,自用-小客車;自用-小貨車(含客、貨兩用);計程車-小客車,121.589748,25.065472
107年04月26日 05時42分00秒,屏東縣屏東市前進里建國路西側 / 屏東縣屏東市前進里建國路西側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.463062,22.654258
107年04月26日 08時11分00秒,嘉義縣太保市春珠里台37線13公里700公尺處,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.325069,23.482957
107年04月26日 08時51分00秒,桃園市桃園區三民路二段與自強路口(M107040752青溪所),死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.317009,25.001158
107年04月26日 19時23分00秒,桃園市中壢區新中北路510號前0.0公尺北側,死亡1;受傷0,租賃車-小客車;普通重型-機車,121.247008,24.957130
107年04月27日 18時43分00秒,臺東縣卑南鄉和平路252巷電桿民生137歧13X11旁,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.092984,22.782912
107年04月27日 21時28分00秒,新北市三重區重陽橋機車道路前0.0公尺,死亡1;受傷3,普通重型-機車;普通重型-機車;乘客-人;乘客-人,121.501173,25.084946
107年04月28日 08時25分00秒,新北市板橋區民生路1段 / 新北市板橋區正隆巷道路,死亡1;受傷0,普通重型-機車;普通重型-機車,121.474050,25.015086
107年04月28日 12時45分00秒,南投縣水里鄉農富村縣131線與大灣路88巷口,死亡1;受傷0,普通重型-機車,120.856633,23.824452
107年04月28日 13時19分00秒,高雄市阿蓮區產業道路 / 高雄市阿蓮區產業道路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.317684,22.860932
107年04月28日 15時42分02秒,新竹縣湖口鄉榮光路323號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.005488,24.861439
107年04月29日 03時38分00秒,臺中市潭子區聚興里環中東路一段588號前0.0公尺,死亡1;受傷0,普通重型-機車,120.718754,24.197023
107年04月30日 07時20分33秒,苗栗縣頭份市中正二路與中正二路131巷口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.947356,24.680348
107年04月30日 08時10分13秒,臺南市西港區營西里後營南45-1公路金砂高幹56電線桿前,死亡1;受傷1,普通重型-機車;普通重型-機車,120.210802,23.143953
107年04月30日 21時29分54秒,新竹市東區中華路一段273號,死亡1;受傷2,普通重型-機車;行人-人;普通重型-機車,120.985787,24.810788
107年05月01日 00時34分00秒,臺南市永康區塩洲里中正南路467號北側,死亡1;受傷1,自用-小客車;行人-人,120.227801,23.032777
107年05月01日 08時09分00秒,臺中市北屯區仁美里崇德路前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.696033,24.168166
107年05月02日 06時30分00秒,新北市三重區中正北路 / 新北市三重區中正北路,死亡1;受傷0,腳踏自行車-慢車;計程車-小客車,121.493136,25.062532
107年05月02日 07時32分00秒,臺北市士林區仰德大道1段前0.0公尺,死亡1;受傷0,普通重型-機車,121.535354,25.108417
107年05月02日 10時40分57秒,宜蘭縣員山鄉員山路3段331號東側,死亡1;受傷0,大型重型1(550C.C.以上)-機車;自用-大貨車,121.647649,24.707022
107年05月02日 18時40分00秒,臺中市北屯區大坑里東山路二段96之8號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.747541,24.195708
107年05月03日 11時42分00秒,彰化縣大村鄉村上村中山路2段144號前0.0公尺,死亡1;受傷0,電動自行車-慢車;營業用-曳引車,120.567218,23.984357
107年05月03日 16時51分00秒,新北市板橋區華東街 / 新北市板橋區南雅南路2段,死亡1;受傷1,普通重型-機車;行人-人,121.448394,24.995331
107年05月03日 17時00分00秒,臺北市北投區大度路1段 / 臺北市北投區中央北路2段,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.486387,25.121899
107年05月04日 01時06分00秒,南投縣名間鄉大庄村新大巷投赤水幹114分15電桿前,死亡1;受傷0,普通重型-機車,120.665249,23.876784
107年05月04日 02時09分00秒,彰化縣和美鎮仁愛里鹿和路6段 / 彰化縣和美鎮仁愛里和順路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.493753,24.106831
107年05月04日 17時57分00秒,臺南市中西區永福路1段119號前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車,120.200087,22.984527
107年05月05日 01時05分42秒,桃園市大溪區武嶺橋上P02處往桃園方向(O107050031內柵所),死亡1;受傷1,普通重型-機車;普通重型-機車,121.279335,24.874359
107年05月05日 10時00分00秒,臺中市和平區博愛里東關路二段前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車,120.943828,24.167926
107年05月05日 23時03分00秒,高雄市鳳山區南京路 / 高雄市鳳山區新富路,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人,120.345500,22.612950
107年05月06日 19時13分00秒,彰化縣芬園鄉茄荖村光華路 / 彰化縣芬園鄉茄荖村光華路,死亡1;受傷1,自用-小客車;普通重型-機車,120.647078,24.012613
107年05月07日 01時04分00秒,新北市淡水區中山北路 / 新北市淡水區新市二路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,121.444143,25.179109
107年05月07日 11時05分00秒,桃園市龜山區大湖路北側 / 桃園市龜山區大湖一路,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.352651,25.055136
107年05月07日 13時30分00秒,花蓮縣新城鄉大漢村民有街2號前150.0公尺東側,死亡1;受傷0,普通重型-機車,121.616656,24.039986
107年05月07日 14時47分00秒,新北市瑞芳區臺2線道路前0.0公尺,死亡1;受傷1,自用-小客車;自用-小客車,121.842028,25.122113
107年05月08日 00時38分00秒,新北市新店區安康路2段 / 新北市新店區安康路,死亡1;受傷2,普通輕型-機車;普通重型-機車;乘客-人,121.509643,24.958403
107年05月08日 01時50分48秒,臺中市沙鹿區國道3號 181公里300.0公尺處南側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車;自用-小貨車(含客、貨兩用),120.593726,24.237133
